user_id,item_id,rating,timestamp
821,10,1,2026-01-21T06:21:52.348533
821,1,5,2026-01-21T06:21:52.348533
821,5,1,2026-01-21T06:21:52.349531
821,20,4,2026-01-21T06:21:52.349531
821,9,2,2026-01-21T06:21:52.350531
821,19,1,2026-01-21T06:21:52.350531
821,8,4,2026-01-21T06:21:52.351534
821,20,1,2026-01-21T06:21:52.351534
821,10,3,2026-01-21T06:21:52.351534
821,20,5,2026-01-21T06:21:52.353132
822,14,5,2026-01-21T06:21:52.353132
822,13,1,2026-01-21T06:21:52.354050
822,18,4,2026-01-21T06:21:52.354050
822,19,2,2026-01-21T06:21:52.357610
822,9,2,2026-01-21T06:21:52.363311
822,9,5,2026-01-21T06:21:52.363311
822,5,3,2026-01-21T06:21:52.364193
822,14,4,2026-01-21T06:21:52.364193
822,19,3,2026-01-21T06:21:52.365194
822,11,3,2026-01-21T06:21:52.365194
823,3,4,2026-01-21T06:21:52.366197
823,17,3,2026-01-21T06:21:52.366197
823,19,1,2026-01-21T06:21:52.367195
823,1,4,2026-01-21T06:21:52.367195
823,20,3,2026-01-21T06:21:52.368197
823,16,2,2026-01-21T06:21:52.368197
823,7,3,2026-01-21T06:21:52.369197
823,11,5,2026-01-21T06:21:52.369197
823,20,2,2026-01-21T06:21:52.370276
823,11,2,2026-01-21T06:21:52.379417
824,3,2,2026-01-21T06:21:52.380382
824,6,3,2026-01-21T06:21:52.380382
824,6,5,2026-01-21T06:21:52.381380
824,8,4,2026-01-21T06:21:52.381380
824,11,3,2026-01-21T06:21:52.382382
824,7,1,2026-01-21T06:21:52.382382
824,1,4,2026-01-21T06:21:52.382382
824,17,1,2026-01-21T06:21:52.383937
824,2,5,2026-01-21T06:21:52.383937
824,17,1,2026-01-21T06:21:52.384895
825,13,2,2026-01-21T06:21:52.384895
825,15,1,2026-01-21T06:21:52.388494
825,20,2,2026-01-21T06:21:52.394007
825,9,3,2026-01-21T06:21:52.394094
825,4,5,2026-01-21T06:21:52.394599
825,1,5,2026-01-21T06:21:52.394599
825,2,1,2026-01-21T06:21:52.395610
825,9,4,2026-01-21T06:21:52.395610
825,12,1,2026-01-21T06:21:52.396606
825,15,4,2026-01-21T06:21:52.396606
