user_id,item_id,rating,timestamp
651,2,2,2026-01-21T06:24:44.885619
651,19,1,2026-01-21T06:24:44.885619
651,1,1,2026-01-21T06:24:44.885619
651,2,5,2026-01-21T06:24:44.892615
651,11,3,2026-01-21T06:24:44.893127
651,7,4,2026-01-21T06:24:44.895174
651,7,1,2026-01-21T06:24:44.895174
651,13,4,2026-01-21T06:24:44.896141
651,13,5,2026-01-21T06:24:44.896141
651,14,3,2026-01-21T06:24:44.897135
652,5,5,2026-01-21T06:24:44.898136
652,18,3,2026-01-21T06:24:44.899138
652,7,5,2026-01-21T06:24:44.899138
652,5,1,2026-01-21T06:24:44.900138
652,16,5,2026-01-21T06:24:44.900138
652,1,3,2026-01-21T06:24:44.901138
652,2,3,2026-01-21T06:24:44.901138
652,5,3,2026-01-21T06:24:44.901138
652,2,2,2026-01-21T06:24:44.902647
652,8,2,2026-01-21T06:24:44.904696
653,18,5,2026-01-21T06:24:44.910245
653,4,4,2026-01-21T06:24:44.911214
653,13,5,2026-01-21T06:24:44.911214
653,10,2,2026-01-21T06:24:44.911214
653,4,3,2026-01-21T06:24:44.912809
653,10,5,2026-01-21T06:24:44.912809
653,10,3,2026-01-21T06:24:44.913732
653,5,4,2026-01-21T06:24:44.913732
653,8,2,2026-01-21T06:24:44.913732
653,6,2,2026-01-21T06:24:44.914730
654,17,1,2026-01-21T06:24:44.914730
654,13,4,2026-01-21T06:24:44.915734
654,2,1,2026-01-21T06:24:44.915734
654,17,4,2026-01-21T06:24:44.916734
654,16,4,2026-01-21T06:24:44.916734
654,15,3,2026-01-21T06:24:44.917730
654,11,2,2026-01-21T06:24:44.927240
654,5,2,2026-01-21T06:24:44.930239
654,8,1,2026-01-21T06:24:44.931239
654,16,2,2026-01-21T06:24:44.932239
655,11,1,2026-01-21T06:24:44.932239
655,8,4,2026-01-21T06:24:44.933828
655,16,4,2026-01-21T06:24:44.944332
655,10,4,2026-01-21T06:24:44.945270
655,1,3,2026-01-21T06:24:44.945270
655,17,5,2026-01-21T06:24:44.946270
655,1,3,2026-01-21T06:24:44.946270
655,4,5,2026-01-21T06:24:44.947270
655,10,3,2026-01-21T06:24:44.947270
655,15,1,2026-01-21T06:24:44.948269
