user_id,item_id,rating,timestamp
1,2,4,2026-01-21T06:21:43.974510
1,9,4,2026-01-21T06:21:43.974510
1,11,5,2026-01-21T06:21:43.974510
1,15,3,2026-01-21T06:21:43.975510
1,6,3,2026-01-21T06:21:43.975510
1,11,1,2026-01-21T06:21:43.975510
1,14,3,2026-01-21T06:21:43.976510
1,2,5,2026-01-21T06:21:43.976510
1,15,1,2026-01-21T06:21:43.976510
1,7,5,2026-01-21T06:21:43.976510
2,9,2,2026-01-21T06:21:43.978017
2,8,5,2026-01-21T06:21:43.978017
2,16,2,2026-01-21T06:21:43.978017
2,2,5,2026-01-21T06:21:43.978017
2,16,5,2026-01-21T06:21:43.979022
2,16,2,2026-01-21T06:21:43.979022
2,13,5,2026-01-21T06:21:43.979022
2,9,4,2026-01-21T06:21:43.980022
2,10,1,2026-01-21T06:21:43.980022
2,6,1,2026-01-21T06:21:43.980022
3,12,1,2026-01-21T06:21:43.981022
3,10,1,2026-01-21T06:21:43.981022
3,4,5,2026-01-21T06:21:43.981022
3,12,4,2026-01-21T06:21:43.982022
3,12,5,2026-01-21T06:21:43.982022
3,1,3,2026-01-21T06:21:43.982022
3,8,2,2026-01-21T06:21:43.983254
3,7,5,2026-01-21T06:21:43.985288
3,11,5,2026-01-21T06:21:43.985288
3,19,3,2026-01-21T06:21:43.986254
4,11,5,2026-01-21T06:21:43.986254
4,5,2,2026-01-21T06:21:43.986254
4,11,4,2026-01-21T06:21:43.987254
4,13,1,2026-01-21T06:21:43.987254
4,9,1,2026-01-21T06:21:43.987254
4,6,4,2026-01-21T06:21:43.988254
4,9,4,2026-01-21T06:21:43.988254
4,5,4,2026-01-21T06:21:43.988254
4,10,1,2026-01-21T06:21:43.989416
4,15,4,2026-01-21T06:21:43.989416
5,8,5,2026-01-21T06:21:43.989416
5,19,2,2026-01-21T06:21:43.990416
5,18,2,2026-01-21T06:21:43.990416
5,4,5,2026-01-21T06:21:43.990416
5,2,1,2026-01-21T06:21:43.991416
5,17,4,2026-01-21T06:21:43.991416
5,10,2,2026-01-21T06:21:43.991416
5,5,5,2026-01-21T06:21:43.992416
5,6,5,2026-01-21T06:21:43.993415
5,18,1,2026-01-21T06:21:43.993415
