user_id,item_id,rating,timestamp
201,11,2,2026-01-21T06:25:03.096097
201,2,1,2026-01-21T06:25:03.096097
201,15,2,2026-01-21T06:25:03.097100
201,17,2,2026-01-21T06:25:03.097100
201,12,1,2026-01-21T06:25:03.097100
201,7,1,2026-01-21T06:25:03.097100
201,1,1,2026-01-21T06:25:03.098095
201,14,3,2026-01-21T06:25:03.098095
201,18,3,2026-01-21T06:25:03.099097
201,6,5,2026-01-21T06:25:03.099097
202,2,1,2026-01-21T06:25:03.099097
202,5,4,2026-01-21T06:25:03.099097
202,3,3,2026-01-21T06:25:03.100098
202,17,3,2026-01-21T06:25:03.100098
202,7,5,2026-01-21T06:25:03.100098
202,4,4,2026-01-21T06:25:03.100098
202,17,5,2026-01-21T06:25:03.101096
202,2,5,2026-01-21T06:25:03.101096
202,13,4,2026-01-21T06:25:03.101096
202,8,3,2026-01-21T06:25:03.101096
203,17,5,2026-01-21T06:25:03.102096
203,19,1,2026-01-21T06:25:03.102096
203,5,1,2026-01-21T06:25:03.102096
203,2,3,2026-01-21T06:25:03.102096
203,9,3,2026-01-21T06:25:03.103096
203,16,2,2026-01-21T06:25:03.103096
203,8,4,2026-01-21T06:25:03.103096
203,1,5,2026-01-21T06:25:03.103096
203,13,2,2026-01-21T06:25:03.103096
203,15,1,2026-01-21T06:25:03.103096
204,11,4,2026-01-21T06:25:03.104663
204,17,4,2026-01-21T06:25:03.109608
204,14,3,2026-01-21T06:25:03.109608
204,10,5,2026-01-21T06:25:03.109608
204,7,5,2026-01-21T06:25:03.110610
204,16,1,2026-01-21T06:25:03.110610
204,13,2,2026-01-21T06:25:03.110610
204,18,2,2026-01-21T06:25:03.110610
204,9,5,2026-01-21T06:25:03.111608
204,13,2,2026-01-21T06:25:03.111608
205,20,5,2026-01-21T06:25:03.111608
205,11,2,2026-01-21T06:25:03.112611
205,13,4,2026-01-21T06:25:03.112611
205,20,4,2026-01-21T06:25:03.112611
205,10,1,2026-01-21T06:25:03.112611
205,12,4,2026-01-21T06:25:03.113609
205,6,2,2026-01-21T06:25:03.113609
205,4,3,2026-01-21T06:25:03.113609
205,11,5,2026-01-21T06:25:03.114611
205,11,5,2026-01-21T06:25:03.114611
