user_id,item_id,rating,timestamp,event_type
201,11,5,2026-01-21T07:15:24.597289,click
201,6,5,2026-01-21T07:15:24.598793,purchase
201,2,1,2026-01-21T07:15:24.598859,add_to_cart
201,12,1,2026-01-21T07:15:24.598859,click
201,19,5,2026-01-21T07:15:24.598859,click
201,5,1,2026-01-21T07:15:24.599798,add_to_cart
201,18,2,2026-01-21T07:15:24.599798,purchase
201,2,2,2026-01-21T07:15:24.599798,add_to_cart
201,13,2,2026-01-21T07:15:24.599798,add_to_cart
201,11,4,2026-01-21T07:15:24.599798,add_to_cart
202,12,1,2026-01-21T07:15:24.600798,purchase
202,9,5,2026-01-21T07:15:24.600798,click
202,4,1,2026-01-21T07:15:24.600798,click
202,15,4,2026-01-21T07:15:24.601798,purchase
202,5,3,2026-01-21T07:15:24.601798,add_to_cart
202,2,1,2026-01-21T07:15:24.602302,click
202,14,2,2026-01-21T07:15:24.602302,purchase
202,9,1,2026-01-21T07:15:24.602302,add_to_cart
202,5,1,2026-01-21T07:15:24.603307,click
202,13,5,2026-01-21T07:15:24.609309,add_to_cart
203,17,1,2026-01-21T07:15:24.609815,purchase
203,6,4,2026-01-21T07:15:24.609815,add_to_cart
203,18,3,2026-01-21T07:15:24.610823,purchase
203,9,4,2026-01-21T07:15:24.610823,purchase
203,16,4,2026-01-21T07:15:24.610823,click
203,10,4,2026-01-21T07:15:24.610823,add_to_cart
203,15,4,2026-01-21T07:15:24.611822,add_to_cart
203,7,1,2026-01-21T07:15:24.611822,purchase
203,11,2,2026-01-21T07:15:24.611822,click
203,4,2,2026-01-21T07:15:24.611822,click
204,5,5,2026-01-21T07:15:24.612820,click
204,5,1,2026-01-21T07:15:24.612820,purchase
204,3,3,2026-01-21T07:15:24.612820,purchase
204,13,1,2026-01-21T07:15:24.612820,purchase
204,11,2,2026-01-21T07:15:24.612820,purchase
204,10,2,2026-01-21T07:15:24.613820,purchase
204,17,4,2026-01-21T07:15:24.613820,add_to_cart
204,4,5,2026-01-21T07:15:24.614324,purchase
204,19,4,2026-01-21T07:15:24.614324,add_to_cart
204,8,1,2026-01-21T07:15:24.614324,purchase
205,14,5,2026-01-21T07:15:24.615330,purchase
205,14,2,2026-01-21T07:15:24.615330,click
205,5,1,2026-01-21T07:15:24.615330,add_to_cart
205,16,4,2026-01-21T07:15:24.615330,purchase
205,9,4,2026-01-21T07:15:24.616329,click
205,11,5,2026-01-21T07:15:24.616329,click
205,16,4,2026-01-21T07:15:24.616329,click
205,4,2,2026-01-21T07:15:24.617329,click
205,17,3,2026-01-21T07:15:24.617329,add_to_cart
205,7,5,2026-01-21T07:15:24.617329,add_to_cart
