user_id,item_id,event_type,timestamp
783,112,purchase,2026-01-13T22:08:27
989,170,purchase,2026-01-13T22:08:29
199,158,click,2026-01-13T22:08:29
865,161,click,2026-01-13T22:08:31
188,431,click,2026-01-13T22:08:32
419,420,purchase,2026-01-13T22:08:33
176,63,add_to_cart,2026-01-13T22:08:34
177,414,click,2026-01-13T22:08:36
845,352,click,2026-01-13T22:08:38
474,294,purchase,2026-01-13T22:08:40
219,468,purchase,2026-01-13T22:08:42
179,420,click,2026-01-13T22:08:44
4,140,add_to_cart,2026-01-13T22:08:44
143,376,click,2026-01-13T22:08:46
809,38,click,2026-01-13T22:08:47
43,141,add_to_cart,2026-01-13T22:08:48
332,436,purchase,2026-01-13T22:08:50
182,412,click,2026-01-13T22:08:50
221,274,add_to_cart,2026-01-13T22:08:51
166,316,purchase,2026-01-13T22:08:52
857,371,purchase,2026-01-13T22:08:53
717,109,add_to_cart,2026-01-13T22:08:54
456,286,click,2026-01-13T22:08:55
353,240,purchase,2026-01-13T22:08:57
396,286,purchase,2026-01-13T22:08:57
714,321,purchase,2026-01-13T22:08:58
230,204,purchase,2026-01-13T22:08:59
5,158,purchase,2026-01-13T22:09:01
291,421,add_to_cart,2026-01-13T22:09:03
503,380,click,2026-01-13T22:09:04
4,245,click,2026-01-13T22:09:04
996,326,click,2026-01-13T22:09:06
972,292,click,2026-01-13T22:09:06
296,206,click,2026-01-13T22:09:07
908,378,purchase,2026-01-13T22:09:08
327,473,purchase,2026-01-13T22:09:09
533,394,click,2026-01-13T22:09:10
521,105,add_to_cart,2026-01-13T22:09:11
133,118,click,2026-01-13T22:09:12
425,177,purchase,2026-01-13T22:09:14
502,274,add_to_cart,2026-01-13T22:09:14
353,187,add_to_cart,2026-01-13T22:09:16
491,321,click,2026-01-13T22:09:17
221,78,purchase,2026-01-13T22:09:18
453,283,click,2026-01-13T22:09:19
982,289,purchase,2026-01-13T22:09:21
265,13,purchase,2026-01-13T22:09:22
993,209,add_to_cart,2026-01-13T22:09:23
493,123,click,2026-01-13T22:09:25
41,203,add_to_cart,2026-01-13T22:09:26
