user_id,item_id,event_type,timestamp
630,230,click,2026-01-20T06:40:33
255,314,purchase,2026-01-20T06:40:34
28,135,click,2026-01-20T06:40:34
477,98,click,2026-01-20T06:40:36
783,95,add_to_cart,2026-01-20T06:40:38
616,500,click,2026-01-20T06:40:39
16,136,click,2026-01-20T06:40:39
96,96,click,2026-01-20T06:40:41
905,438,add_to_cart,2026-01-20T06:40:43
572,475,click,2026-01-20T06:40:43
982,265,click,2026-01-20T06:40:45
538,45,purchase,2026-01-20T06:40:46
882,126,click,2026-01-20T06:40:46
584,136,add_to_cart,2026-01-20T06:40:48
459,490,click,2026-01-20T06:40:49
798,227,click,2026-01-20T06:40:51
522,254,purchase,2026-01-20T06:40:53
70,418,purchase,2026-01-20T06:40:55
591,27,purchase,2026-01-20T06:40:56
761,338,purchase,2026-01-20T06:40:57
222,151,click,2026-01-20T06:40:58
363,151,purchase,2026-01-20T06:40:59
573,448,add_to_cart,2026-01-20T06:41:00
129,70,add_to_cart,2026-01-20T06:41:02
875,266,click,2026-01-20T06:41:03
833,477,add_to_cart,2026-01-20T06:41:05
501,72,click,2026-01-20T06:41:06
264,45,add_to_cart,2026-01-20T06:41:07
739,235,purchase,2026-01-20T06:41:09
745,9,click,2026-01-20T06:41:10
459,330,add_to_cart,2026-01-20T06:41:11
243,439,purchase,2026-01-20T06:41:12
509,397,add_to_cart,2026-01-20T06:41:13
187,42,add_to_cart,2026-01-20T06:41:14
688,53,add_to_cart,2026-01-20T06:41:16
911,113,purchase,2026-01-20T06:41:18
737,109,click,2026-01-20T06:41:18
488,442,click,2026-01-20T06:41:19
738,249,add_to_cart,2026-01-20T06:41:21
39,96,add_to_cart,2026-01-20T06:41:22
267,421,click,2026-01-20T06:41:23
860,61,purchase,2026-01-20T06:41:24
248,256,add_to_cart,2026-01-20T06:41:26
756,100,purchase,2026-01-20T06:41:27
867,266,purchase,2026-01-20T06:41:28
460,105,click,2026-01-20T06:41:29
416,178,purchase,2026-01-20T06:41:31
158,35,purchase,2026-01-20T06:41:32
994,341,purchase,2026-01-20T06:41:33
465,97,click,2026-01-20T06:41:34
