user_id,item_id,event_type,timestamp
872,398,click,2026-01-19T05:32:02
854,270,purchase,2026-01-19T05:32:03
197,499,click,2026-01-19T05:32:04
572,158,click,2026-01-19T05:32:06
268,164,click,2026-01-19T05:32:07
627,307,add_to_cart,2026-01-19T05:32:08
257,361,purchase,2026-01-19T05:32:09
612,143,purchase,2026-01-19T05:32:11
290,468,click,2026-01-19T05:32:13
916,78,purchase,2026-01-19T05:32:14
413,32,click,2026-01-19T05:32:16
418,389,purchase,2026-01-19T05:32:17
461,272,click,2026-01-19T05:32:19
252,311,click,2026-01-19T05:32:20
40,85,click,2026-01-19T05:32:21
520,244,add_to_cart,2026-01-19T05:32:22
313,281,purchase,2026-01-19T05:32:23
134,154,purchase,2026-01-19T05:32:24
246,32,purchase,2026-01-19T05:32:25
132,288,purchase,2026-01-19T05:32:26
266,442,add_to_cart,2026-01-19T05:32:28
656,132,purchase,2026-01-19T05:32:30
152,167,purchase,2026-01-19T05:32:31
426,241,add_to_cart,2026-01-19T05:32:32
358,28,purchase,2026-01-19T05:32:34
288,148,click,2026-01-19T05:32:35
864,269,click,2026-01-19T05:32:37
924,368,add_to_cart,2026-01-19T05:32:38
789,217,purchase,2026-01-19T05:32:40
235,142,purchase,2026-01-19T05:32:41
568,290,click,2026-01-19T05:32:41
161,493,click,2026-01-19T05:32:43
448,493,click,2026-01-19T05:32:44
441,121,purchase,2026-01-19T05:32:45
1,246,purchase,2026-01-19T05:32:46
137,404,click,2026-01-19T05:32:48
250,138,click,2026-01-19T05:32:49
481,273,click,2026-01-19T05:32:50
422,61,add_to_cart,2026-01-19T05:32:51
659,145,click,2026-01-19T05:32:52
397,383,purchase,2026-01-19T05:32:52
484,481,click,2026-01-19T05:32:54
785,325,add_to_cart,2026-01-19T05:32:55
428,120,click,2026-01-19T05:32:56
527,103,add_to_cart,2026-01-19T05:32:58
611,18,click,2026-01-19T05:33:00
307,16,add_to_cart,2026-01-19T05:33:00
256,412,purchase,2026-01-19T05:33:02
978,115,click,2026-01-19T05:33:03
229,303,click,2026-01-19T05:33:05
