user_id,item_id,rating,timestamp,year,month,day,hour,dayofweek,is_weekend
257,358,3,2024-12-16 14:00:00,2024,12,16,14,0,0
189,255,1,2025-01-11 18:00:00,2025,1,11,18,5,1
828,18,5,2024-01-23 04:00:00,2024,1,23,4,1,0
540,334,1,2024-07-09 21:00:00,2024,7,9,21,1,0
89,241,3,2025-01-07 16:00:00,2025,1,7,16,1,0
365,242,1,2024-04-05 11:00:00,2024,4,5,11,4,0
580,230,5,2024-03-31 10:00:00,2024,3,31,10,6,1
294,451,4,2024-12-21 17:00:00,2024,12,21,17,5,1
195,388,1,2024-08-09 05:00:00,2024,8,9,5,4,0
324,389,5,2024-12-09 18:00:00,2024,12,9,18,0,0
288,216,4,2024-10-28 18:00:00,2024,10,28,18,0,0
320,237,5,2024-06-29 09:00:00,2024,6,29,9,5,1
390,482,5,2024-12-16 21:00:00,2024,12,16,21,0,0
488,326,3,2024-01-27 01:00:00,2024,1,27,1,5,1
634,67,4,2025-01-17 22:00:00,2025,1,17,22,4,0
192,52,1,2025-01-08 16:00:00,2025,1,8,16,2,0
620,376,4,2024-11-13 01:00:00,2024,11,13,1,2,0
731,302,2,2024-04-06 11:00:00,2024,4,6,11,5,1
832,269,5,2025-01-19 10:00:00,2025,1,19,10,6,1
664,137,1,2024-03-19 19:00:00,2024,3,19,19,1,0
298,119,2,2025-01-13 15:00:00,2025,1,13,15,0,0
809,196,3,2024-11-14 08:00:00,2024,11,14,8,3,0
236,24,5,2024-02-14 19:00:00,2024,2,14,19,2,0
864,80,4,2024-07-20 15:00:00,2024,7,20,15,5,1
644,378,2,2024-09-09 06:00:00,2024,9,9,6,0,0
360,476,5,2024-05-27 14:00:00,2024,5,27,14,0,0
294,474,4,2024-12-28 15:00:00,2024,12,28,15,5,1
345,1,4,2024-05-19 02:00:00,2024,5,19,2,6,1
900,355,3,2024-06-05 21:00:00,2024,6,5,21,2,0
711,125,1,2024-12-02 12:00:00,2024,12,2,12,0,0
101,295,3,2024-05-15 03:00:00,2024,5,15,3,2,0
621,437,1,2024-07-04 12:00:00,2024,7,4,12,3,0
836,356,3,2024-01-13 15:00:00,2024,1,13,15,5,1
190,201,2,2024-05-28 07:00:00,2024,5,28,7,1,0
7,104,1,2024-03-13 22:00:00,2024,3,13,22,2,0
840,46,2,2024-02-29 01:00:00,2024,2,29,1,3,0
207,105,4,2024-01-08 19:00:00,2024,1,8,19,0,0
