user_id,item_id,event_type,timestamp
987,272,purchase,2026-01-11T21:59:58
703,450,click,2026-01-11T21:59:59
251,143,click,2026-01-11T22:00:00
816,91,purchase,2026-01-11T22:00:01
168,44,click,2026-01-11T22:00:02
106,257,click,2026-01-11T22:00:03
406,385,purchase,2026-01-11T22:00:05
185,289,click,2026-01-11T22:00:07
220,246,add_to_cart,2026-01-11T22:00:08
377,198,click,2026-01-11T22:00:08
964,101,purchase,2026-01-11T22:00:09
570,444,purchase,2026-01-11T22:00:11
592,309,click,2026-01-11T22:00:12
209,219,purchase,2026-01-11T22:00:13
87,298,click,2026-01-11T22:00:14
700,474,click,2026-01-11T22:00:15
402,73,purchase,2026-01-11T22:00:17
381,148,add_to_cart,2026-01-11T22:00:18
777,437,add_to_cart,2026-01-11T22:00:20
52,350,add_to_cart,2026-01-11T22:00:20
20,439,purchase,2026-01-11T22:00:22
561,446,add_to_cart,2026-01-11T22:00:23
115,239,click,2026-01-11T22:00:24
622,307,click,2026-01-11T22:00:25
538,371,click,2026-01-11T22:00:27
726,263,add_to_cart,2026-01-11T22:00:29
386,412,click,2026-01-11T22:00:30
281,26,add_to_cart,2026-01-11T22:00:30
372,327,add_to_cart,2026-01-11T22:00:32
729,77,click,2026-01-11T22:00:33
98,303,add_to_cart,2026-01-11T22:00:35
490,203,click,2026-01-11T22:00:37
440,267,click,2026-01-11T22:00:38
291,330,add_to_cart,2026-01-11T22:00:39
158,90,add_to_cart,2026-01-11T22:00:41
812,56,click,2026-01-11T22:00:43
8,219,purchase,2026-01-11T22:00:43
820,297,click,2026-01-11T22:00:44
399,363,click,2026-01-11T22:00:46
301,342,add_to_cart,2026-01-11T22:00:47
80,128,click,2026-01-11T22:00:48
73,282,add_to_cart,2026-01-11T22:00:50
810,67,click,2026-01-11T22:00:51
903,438,purchase,2026-01-11T22:00:53
628,23,add_to_cart,2026-01-11T22:00:54
802,171,add_to_cart,2026-01-11T22:00:55
633,66,click,2026-01-11T22:00:56
585,456,click,2026-01-11T22:00:56
937,204,purchase,2026-01-11T22:00:57
570,366,add_to_cart,2026-01-11T22:00:59
