user_id,item_id,event_type,timestamp
822,394,purchase,2026-01-11T23:15:52
205,174,add_to_cart,2026-01-11T23:15:52
952,277,click,2026-01-11T23:15:53
680,457,purchase,2026-01-11T23:15:55
497,86,add_to_cart,2026-01-11T23:15:56
258,203,add_to_cart,2026-01-11T23:15:57
112,357,add_to_cart,2026-01-11T23:15:59
613,158,purchase,2026-01-11T23:16:00
373,106,purchase,2026-01-11T23:16:01
438,164,add_to_cart,2026-01-11T23:16:02
655,127,add_to_cart,2026-01-11T23:16:03
638,207,add_to_cart,2026-01-11T23:16:04
296,463,purchase,2026-01-11T23:16:06
501,462,purchase,2026-01-11T23:16:07
24,452,add_to_cart,2026-01-11T23:16:09
653,308,click,2026-01-11T23:16:09
679,157,click,2026-01-11T23:16:10
520,117,add_to_cart,2026-01-11T23:16:12
360,419,purchase,2026-01-11T23:16:13
181,243,add_to_cart,2026-01-11T23:16:14
345,129,purchase,2026-01-11T23:16:15
869,336,click,2026-01-11T23:16:17
451,424,purchase,2026-01-11T23:16:18
769,470,click,2026-01-11T23:16:19
834,437,add_to_cart,2026-01-11T23:16:20
603,233,purchase,2026-01-11T23:16:22
100,33,add_to_cart,2026-01-11T23:16:24
672,177,purchase,2026-01-11T23:16:26
473,95,click,2026-01-11T23:16:27
137,476,purchase,2026-01-11T23:16:27
128,40,purchase,2026-01-11T23:16:28
810,340,add_to_cart,2026-01-11T23:16:29
256,160,add_to_cart,2026-01-11T23:16:30
247,441,click,2026-01-11T23:16:32
605,458,purchase,2026-01-11T23:16:34
243,472,purchase,2026-01-11T23:16:36
582,414,purchase,2026-01-11T23:16:37
949,140,purchase,2026-01-11T23:16:39
50,214,click,2026-01-11T23:16:40
540,410,purchase,2026-01-11T23:16:42
643,465,add_to_cart,2026-01-11T23:16:43
42,395,click,2026-01-11T23:16:44
709,163,click,2026-01-11T23:16:45
450,395,add_to_cart,2026-01-11T23:16:46
607,318,purchase,2026-01-11T23:16:48
590,376,click,2026-01-11T23:16:49
752,177,purchase,2026-01-11T23:16:50
800,394,click,2026-01-11T23:16:51
382,99,add_to_cart,2026-01-11T23:16:53
660,435,purchase,2026-01-11T23:16:55
